Image	Centroid X µm	Centroid Y µm	Area µm^2
3117.czi	18629.3	9799.8	144.7968
3117.czi	8278.9	2691	52.2588
3117.czi	9964.8	3230.1	47.2908
3117.czi	7793	12656.1	47.5283
3117.czi	13872.1	9742.7	81.7385
3117.czi	10998	11113.3	48.8476
3117.czi	12262.8	14378.1	53.5969
3117.czi	7165	12814.3	88.3523
3117.czi	7020.8	3379.6	44.501
3117.czi	12399.9	9016.6	45.5051
3117.czi	15464.1	6158.8	155.6883
3117.czi	16160.2	3276	43.495
3117.czi	4417.6	10875.9	46.7507
3117.czi	9695.2	2832.2	46.937
3117.czi	4928.8	12221.8	108.1199
3117.czi	17289.2	1388.8	57.0713
3117.czi	9158.2	2234.1	43.5564
3117.czi	12562.8	15383.7	51.2839
3117.czi	12526.7	15228	67.522
3117.czi	9421.1	3361.9	86.5327
3117.czi	13779.4	16077.8	36.2648
3117.czi	5681.4	3111.5	42.4224
3117.czi	17920.5	15717.2	66.1014
3117.czi	7435.9	12502.7	46.0758
3117.czi	5751.4	11181.5	59.4724
3117.czi	5303.5	1708.5	48.8411
3117.czi	10354.8	10096.2	59.3837
3117.czi	7527.6	12377.9	56.6244
3117.czi	3343.1	10782	50.3405
3117.czi	9789.6	8935.6	50.1603
3117.czi	16204.5	14327.9	59.0941
3117.czi	9165.6	2348.1	54.6727
3117.czi	6490.3	12547.5	42.4791
3117.czi	12373.2	6765.3	38.2509
3117.czi	11839.2	8388.5	58.7576
3117.czi	13910.3	5801.8	45.174
3117.czi	6934.8	8835.9	45.4161
3117.czi	18095.9	13387.4	68.9422
3117.czi	14415.9	9179	48.6128
3117.czi	11000	7463.4	33.3934
3117.czi	6331.7	2276.3	58.585
3117.czi	8268.9	2892.4	63.5083
3117.czi	16496.8	12015.2	41.0945
3117.czi	14143.9	8827.9	58.8404
3117.czi	4757	12110	44.7924
3117.czi	11562	13132.8	72.0309
3117.czi	10246.1	12424.6	41.3303
3117.czi	12584	8960.3	50.0283
3117.czi	10375.8	3458.3	45.9018
3117.czi	11425.9	13333.7	46.2585
3117.czi	10238.1	3242	39.6838
3117.czi	17113	5279.1	37.3961
3117.czi	9076.7	8654	51.9188
3117.czi	12158.8	4399.5	44.399
3117.czi	7987.2	6108.3	159.3962
3117.czi	9993.7	11620.5	31.6354
3117.czi	13398.2	12126.5	56.5689
3117.czi	8120.5	3484.8	50.5845
3117.czi	15314.2	10554.6	44.3039
3117.czi	5754.8	3420	46.1143
3117.czi	9114.2	6244.3	41.3262
3117.czi	10063.5	13245.8	39.5405
3117.czi	11436.7	7269.7	90.2962
3117.czi	3913.7	8508.3	39.2873
3117.czi	15013.9	6518.2	42.6853
3117.czi	8159.8	9243.4	77.6169
3117.czi	10309.9	8506.3	54.0751
3117.czi	8837.1	8267.6	58.0891
3117.czi	13784.3	5177	48.4692
3117.czi	9279.2	14923.9	94.4664
3117.czi	13846.3	9815.8	36.743
3117.czi	19070.7	9013.6	225.2489
3117.czi	10850.3	12676.6	92.5145
3117.czi	15237.2	13510.5	76.8902
3117.czi	8467.5	15138.1	30.5692
3117.czi	14419.9	6406.4	67.3951
3117.czi	16838.2	4252	55.5249
3117.czi	2859.9	3846.9	85.6774
3117.czi	9860.3	4116.4	155.4681
3117.czi	14308.1	4894.7	99.2582
3117.czi	13874.3	9029.1	44.1263
3117.czi	6207.9	12939.9	41.0958
3117.czi	8652.8	10355	49.8716
3117.czi	3650.1	3308.5	49.9124
3117.czi	4340	3740.3	49.5106
3117.czi	4761.1	11538.9	62.8603
3117.czi	4050.8	3023.8	84.4025
3117.czi	10783.4	10524.3	51.3541
3117.czi	11042.2	15930.7	69.4495
3117.czi	5438.8	6565.9	52.8781
3117.czi	6456.2	7873.6	54.9507
3117.czi	6445.9	7102.5	46.847
3117.czi	5342.6	8916.4	55.7529
3117.czi	5462.7	7279.3	57.5083
3117.czi	10028.8	3290	73.2331
3117.czi	6943.8	11564.2	45.799
3117.czi	19165	8016.5	49.7871
3117.czi	17548.1	3176.2	60.9075
3117.czi	11762.3	5765.5	47.7378
3117.czi	6130	7222.5	44.4392
3117.czi	4095.8	8915.9	39.2675
3117.czi	15156.8	9029.1	101.3964
3117.czi	13905.1	6195	44.6989
3117.czi	3801.4	6154.9	41.4484
3117.czi	8067.4	4561.8	83.8657
3117.czi	2890.1	9256.5	66.1006
3117.czi	10620.2	12837.2	57.1651
3117.czi	4937.8	3750.2	40.4043
3117.czi	17179.8	10334.2	57.6469
3117.czi	8070	12183	43.5521
3117.czi	11157.7	11964.1	86.1112
3117.czi	11934.1	1974.8	44.3724
3117.czi	3784.5	7884.9	85.6038
3117.czi	12596.6	9099.7	39.8454
3117.czi	15946.8	14100.7	39.5903
3117.czi	20438.6	8168.2	59.9955
3117.czi	13697.4	6839	49.6999
3117.czi	12359.1	15187.1	51.5404
3117.czi	12751.3	7357.9	100.0213
3117.czi	9037.9	13961.7	51.828
3117.czi	6999.3	5395	45.4141
3117.czi	16935.6	9293.1	72.6523
3117.czi	11922.1	8040.4	50.4919
3117.czi	8317	3256.8	39.5621
3117.czi	10914.6	11914.6	58.4276
3117.czi	12963.4	3282.2	51.4943
3117.czi	12594.1	14204.7	35.4952
3117.czi	12584.9	9384.4	58.4735
3117.czi	10965.7	14806.5	32.4105
3117.czi	11008	15246.8	41.0046
3117.czi	14038.1	6570.4	48.7429
3117.czi	2805.4	7622.5	50.288
3117.czi	14388.7	9145.8	112.3019
3117.czi	9387.2	12651.4	38.8637
3117.czi	9040.1	2296.1	43.783
3117.czi	14993.4	14463.3	34.2667
3117.czi	6117.6	7181.3	46.2888
3117.czi	10602.9	2862.1	48.8311
3117.czi	8309.2	3751.6	58.3044
3117.czi	17096.6	6956.1	62.6748
3117.czi	9809.9	8940.7	57.8093
3117.czi	9188.7	14902.2	59.7296
3117.czi	5144.1	9615	47.0043
3117.czi	14054	8795.2	54.4047
3117.czi	5221.2	2289.3	79.3683
3117.czi	11298.3	14289.1	39.7813
