Image	Centroid X µm	Centroid Y µm	Area µm^2
2732stardist.czi	14373	10709	110.3058
2732stardist.czi	9730.8	11960.4	79.6121
2732stardist.czi	15270.2	6391.3	60.0635
2732stardist.czi	9550.1	7552.1	53.6764
2732stardist.czi	14753.1	11218.4	98.2182
2732stardist.czi	12034.7	12798.3	116.2572
2732stardist.czi	4928	16770.1	113.8644
2732stardist.czi	6708.2	13269.2	47.8242
2732stardist.czi	964.73	6718.4	97.6602
2732stardist.czi	9683.7	11778.7	49.459
2732stardist.czi	6245.1	556.84	86.4397
2732stardist.czi	9554.1	5423.5	44.4246
2732stardist.czi	6343.7	10773.2	74.7295
2732stardist.czi	7451.4	6580.5	77.147
2732stardist.czi	8792.5	11505.6	115.8226
2732stardist.czi	15009.8	9571.9	63.6845
2732stardist.czi	8119.3	6928.2	88.7901
2732stardist.czi	7984.7	11648.4	54.4612
2732stardist.czi	13800.1	5341.3	54.0328
2732stardist.czi	6995.2	13122.3	63.9126
2732stardist.czi	1496	2164.2	45.8813
2732stardist.czi	12131.2	3843.1	111.7779
2732stardist.czi	5908.6	10823.1	53.6234
2732stardist.czi	10130.9	7503.5	51.1624
2732stardist.czi	9285.4	11405.8	79.2618
2732stardist.czi	12279.9	11639.4	38.8247
2732stardist.czi	14386.5	6068.1	48.5912
2732stardist.czi	8022.1	4581.8	58.6648
2732stardist.czi	4873.1	15036.3	63.1563
2732stardist.czi	14422.8	9389.7	114.4665
2732stardist.czi	13441.2	10172.3	72.0301
2732stardist.czi	10234.1	12558.5	46.296
2732stardist.czi	11778.3	3920	41.6234
2732stardist.czi	12830.1	7280	58.7955
2732stardist.czi	9067.4	7797.2	87.2757
2732stardist.czi	14847	6327.3	68.1446
2732stardist.czi	5583.2	14586.5	61.6888
2732stardist.czi	6180.1	9926.9	112.5605
2732stardist.czi	8600.5	15119.8	119.0834
2732stardist.czi	15279.7	6361.7	58.2453
2732stardist.czi	10524.9	10005.8	69.7644
2732stardist.czi	13802.1	3637.3	45.1176
2732stardist.czi	11309.5	12556.4	68.8641
2732stardist.czi	2607.1	11452.5	44.234
2732stardist.czi	1536.2	1806.2	37.7583
2732stardist.czi	8386.3	6937.2	46.8808
2732stardist.czi	10811.9	16325.8	61.6534
2732stardist.czi	4616.3	9903.7	41.1814
2732stardist.czi	12702.3	2284.1	38.5815
2732stardist.czi	10292.1	5456.4	41.821
2732stardist.czi	2234.1	9179.6	89.8471
2732stardist.czi	6688.4	11169.1	43.2303
2732stardist.czi	2756.1	12112.1	43.5049
2732stardist.czi	10485.9	10222.5	112.6787
2732stardist.czi	10915	10015.8	86.872
2732stardist.czi	9129.9	15872.2	36.1902
2732stardist.czi	11597.6	12201.6	74.2428
2732stardist.czi	12923.4	10037.1	87.3693
2732stardist.czi	5330.3	7894.9	40.0131
2732stardist.czi	13737.4	6641.1	62.2877
2732stardist.czi	12478.1	11462.7	48.8912
2732stardist.czi	3548.3	13862.4	40.4607
2732stardist.czi	7530	6108.3	53.4502
2732stardist.czi	3612.5	10067.4	45.3782
2732stardist.czi	13399.6	10159.6	51.4454
2732stardist.czi	9471.2	5286	53.6451
2732stardist.czi	8365.6	12926.3	42.1866
2732stardist.czi	13736.7	5575.2	110.5863
2732stardist.czi	11597.1	4123	57.5058
