Image	Centroid X µm	Centroid Y µm	Area µm^2
3139.czi	9165.4	20090.5	340.4267
3139.czi	30334.4	9335.4	117.3246
3139.czi	16183.5	11699.2	86.2231
3139.czi	30272.2	10804.2	50.1194
3139.czi	27923.7	6366.9	65.6189
3139.czi	28524.6	14567.4	101.8589
3139.czi	17360.6	10711.7	165.9453
3139.czi	15668.1	5593.1	65.0464
3139.czi	29664.1	7454.1	66.0584
3139.czi	10662.1	17975.1	104.6074
3139.czi	6426.3	16450.4	111.5289
3139.czi	11077.2	16002.8	80.8936
3139.czi	7282.5	16849.7	67.9157
3139.czi	13725.5	13835.8	158.9055
3139.czi	25490.1	6050	55.5863
3139.czi	12040.2	9397.4	77.1587
3139.czi	17631.4	12197.8	72.7594
3139.czi	17986.6	12522.8	54.4042
3139.czi	10867.8	19274.2	47.3344
3139.czi	12643	13079.1	71.5677
3139.czi	12882.1	17004.8	54.5544
3139.czi	17596.1	12852.5	48.5736
3139.czi	18372.9	9607.9	68.876
3139.czi	12999.8	13124.3	47.3963
3139.czi	15445.2	12427.7	75.7994
3139.czi	10771.8	7996.2	39.3362
3139.czi	17656.8	9528.1	56.6541
3139.czi	19526	19132.2	53.6885
3139.czi	7310	19667.1	86.7284
3139.czi	19578.4	11611.5	40.6672
3139.czi	17541.4	12598	47.3145
3139.czi	14014.9	13637.5	78.7145
3139.czi	19073.3	9072.4	67.4893
3139.czi	25870.1	8788	39.2025
3139.czi	7104	16011.1	75.1663
3139.czi	7955.9	18277.7	57.8303
3139.czi	7386.1	16757.4	130.6774
3139.czi	26560.3	13961.1	49.8687
3139.czi	17668.1	8914.3	45.956
3139.czi	17650.1	10013.6	61.7257
3139.czi	12988.2	12749.6	67.0221
3139.czi	15868.1	12681	54.7605
3139.czi	5808.8	19768	41.5997
3139.czi	20417.2	6311.4	48.0994
3139.czi	9767	6603.8	74.2337
3139.czi	14063.2	13514.4	79.2927
3139.czi	27364.2	11693.5	56.1642
3139.czi	13864.3	9067.5	55.7197
3139.czi	27276.6	9471.7	56.2302
3139.czi	10170.1	18295.6	101.0149
3139.czi	13503.8	18097	110.4879
3139.czi	9081.9	17948.8	47.2151
3139.czi	9263.4	16419.2	64.2832
3139.czi	7061.7	16761.5	56.2715
3139.czi	10607.1	7948.3	58.6521
3139.czi	27038.6	8068.1	58.2866
3139.czi	17736.2	12195.1	85.5748
3139.czi	15742.4	13709.4	61.1547
3139.czi	29318.6	5151.2	72.2945
3139.czi	24239.2	13077.2	99.0935
3139.czi	16793.1	17200.3	62.3767
3139.czi	18267.1	8665.8	64.1994
3139.czi	20611.4	7783	55.6148
3139.czi	12050	19054.6	188.4578
3139.czi	29126.7	15846.9	47.9252
3139.czi	18936.2	11864.9	44.5169
3139.czi	25151.3	6763.5	119.4588
3139.czi	26663.2	12182.1	50.3727
3139.czi	10420.2	19780	157.3154
3139.czi	8203.8	17683.4	112.7557
3139.czi	26670.4	10544.3	43.6854
3139.czi	28603.1	12961.5	77.9491
3139.czi	10368.6	17034.5	70.3272
3139.czi	19312.3	8245.8	67.4786
3139.czi	29538	13935.4	57.3312
3139.czi	15548.3	13610.5	73.0112
3139.czi	15594.4	11766.1	53.6256
3139.czi	15299.6	13349.2	54.9148
3139.czi	14840.2	14888.1	39.9079
3139.czi	9406.4	13994.4	42.1158
3139.czi	25487.2	14891.2	138.8405
3139.czi	11773.4	10632.6	46.3589
3139.czi	13682.3	18143.1	43.1488
3139.czi	12207	9358.3	61.543
3139.czi	17467.3	17992.1	50.7201
3139.czi	9237.9	14147.8	72.437
3139.czi	10405.2	17062.7	43.1343
3139.czi	13968.2	11863	50.2781
3139.czi	17948.5	14955.9	104.7952
3139.czi	7675.6	16121.4	81.3483
3139.czi	25729.1	17792.4	60.123
3139.czi	30144.1	10683.1	40.8809
3139.czi	14804.6	13748.5	85.6983
3139.czi	13716.1	17513.7	50.4595
3139.czi	9648.3	18758	56.4313
3139.czi	23770.8	16464	42.7375
3139.czi	21406.1	16388.1	54.496
3139.czi	17098.3	15339.7	95.4081
3139.czi	15381.2	11474.6	69.3529
3139.czi	13210.2	12277	54.6438
3139.czi	10804.9	14289.1	87.4199
3139.czi	18988.6	12840.4	64.6943
3139.czi	19791.9	18530.1	46.507
3139.czi	29051.8	10238.9	34.5215
3139.czi	17379.9	12723.7	52.8648
3139.czi	18375.3	16519.9	80.9152
3139.czi	9373.6	14960.1	53.0728
3139.czi	25307.9	5637.5	47.2365
3139.czi	18382.1	16602.4	34.3269
3139.czi	15281.1	14377.5	93.3352
3139.czi	8812.5	14774.1	118.5674
3139.czi	8400.4	13132.1	82.7945
3139.czi	16115.3	13324.4	54.7446
3139.czi	16353.4	10748.6	62.2154
3139.czi	25412.1	11796.4	37.5922
3139.czi	14793.3	13793.9	118.0371
3139.czi	13250	14870	54.2312
3139.czi	20181.5	11985	66.1658
3139.czi	12941.9	16518.4	68.7392
3139.czi	19811	6929.7	46.351
3139.czi	15359.2	18985.9	79.7348
3139.czi	24502.3	12137.6	46.9494
3139.czi	12209.5	14131.4	106.3618
3139.czi	6326.7	16433.6	92.3944
3139.czi	13988.7	12140.8	114.1803
3139.czi	7964.7	14702.4	304.2728
3139.czi	8433.3	13808	49.9861
3139.czi	7303.5	19649.8	72.2688
3139.czi	22989.7	15695	69.2699
3139.czi	17645.4	13475.7	69.8157
3139.czi	12160.3	9423.1	37.0949
3139.czi	16017.5	12430.9	48.1072
3139.czi	19575.7	10879.3	50.5463
3139.czi	20941	5527.3	45.0213
3139.czi	9007.4	13384	61.0776
3139.czi	20307.4	10741.4	55.0368
3139.czi	7464	16906.5	39.6181
3139.czi	17111.6	9056.4	45.3944
3139.czi	10267.1	17961.6	91.863
3139.czi	10572.8	14792.9	108.732
3139.czi	10446.2	15853.8	71.9053
3139.czi	9926.4	18703.1	67.3498
3139.czi	26285.8	8428.2	40.0366
3139.czi	24452.3	6187.9	66.9195
3139.czi	9718	13969.8	83.0195
3139.czi	17341.3	10141	50.81
3139.czi	26249.3	8443.9	62.8852
3139.czi	13882.2	13657.6	85.5415
3139.czi	8934.6	18289.7	72.021
3139.czi	27767.3	14218.1	42.5752
3139.czi	13411.8	16588.4	63.5179
3139.czi	12304.1	12451.7	41.3903
3139.czi	21846	18530.6	52.4554
3139.czi	26606.3	9353.1	37.3014
3139.czi	11766.5	17780.2	107.8637
3139.czi	20588.9	13216.7	66.3047
3139.czi	9935.1	18707.4	66.3398
3139.czi	15269.3	11510	82.2089
3139.czi	28849.4	10829.3	35.9238
3139.czi	11724.1	15829.1	40.8849
3139.czi	13899.9	9227	75.3807
3139.czi	25253.2	5730.1	84.7636
3139.czi	7444.4	18180.3	82.2231
3139.czi	19261.6	17982.2	77.0215
3139.czi	9624.9	12645	73.2099
3139.czi	12965.2	16877	102.8799
3139.czi	14893.3	13679.9	56.4716
3139.czi	23349.5	7786.1	33.6149
3139.czi	12093.2	7895	51.8109
3139.czi	11019	17004.4	132.1203
3139.czi	16044.5	16558.7	89.4556
3139.czi	8280.6	15878.2	65.7882
3139.czi	16792.4	12484.1	62.252
3139.czi	12715.3	13852	74.1207
3139.czi	12247.2	13938.9	61.0363
3139.czi	8805	19105.3	39.0819
3139.czi	15389.1	14888.6	98.657
3139.czi	9643.6	16204.2	70.0183
3139.czi	14541.9	7128.7	73.5029
3139.czi	15479.4	7450.5	47.941
3139.czi	12084.2	12055.2	36.4103
3139.czi	27276.7	17273.2	39.6214
3139.czi	28723.4	17369.5	93.6986
3139.czi	16284	9921.2	60.9512
3139.czi	9739.5	19059.7	74.0276
3139.czi	12101	9800.6	42.9978
3139.czi	11028.2	13313.8	73.6751
3139.czi	16115.1	9671.2	61.2744
3139.czi	11366.6	18639.1	56.6714
3139.czi	9691.7	15777.9	38.7671
3139.czi	13700.4	19609.9	86.0712
3139.czi	18501.2	19689.1	43.471
3139.czi	23685.1	8782.2	40.7166
3139.czi	17939.3	11415.5	134.7465
3139.czi	27437.2	6520.1	78.2427
3139.czi	8970.5	18328.1	66.1311
3139.czi	9994.4	11676.9	63.9448
3139.czi	17473	17885	33.8754
3139.czi	27918.3	5284	49.1378
3139.czi	26981.1	8061	93.1393
3139.czi	12418.4	14170.8	60.7328
3139.czi	7976.9	16258.1	47.7523
3139.czi	26628	7785.6	84.0347
3139.czi	13953.3	7429	48.0934
3139.czi	14988	11297.1	90.8945
3139.czi	10126	10432.9	35.6058
3139.czi	19088.7	5737.2	216.8781
3139.czi	29324.9	5039.3	85.8538
3139.czi	15843.7	17561.1	41.7251
3139.czi	13664.6	11206.2	60.1573
3139.czi	25096	9297.5	45.5952
3139.czi	16624.2	17270.1	37.5888
3139.czi	12700.9	18858.4	127.6764
3139.czi	13079.8	18060.6	53.9937
3139.czi	15247.4	12108.4	89.6319
3139.czi	22610.5	6883.8	34.8083
3139.czi	10906.7	19221.1	39.2651
3139.czi	23356.6	8143.5	53.2963
3139.czi	21055.3	6575.5	85.32
3139.czi	11006.7	18884.9	47.3141
3139.czi	27715.5	12143.5	54.4276
3139.czi	9097.1	17946.9	38.7253
3139.czi	5978.1	11788.6	42.833
3139.czi	13836.5	8061.2	67.9418
3139.czi	29340.4	5070.7	44.8777
3139.czi	10839.7	16395.7	88.0372
3139.czi	12271	13051	60.1816
3139.czi	13771.5	18005.9	53.608
3139.czi	12452.8	11181.1	37.493
3139.czi	18349.3	9623.3	91.5655
3139.czi	17401.2	13320.8	63.1412
3139.czi	16934.7	11661.3	82.7123
3139.czi	14523.6	14034.6	129.6518
3139.czi	19456.8	8485.1	50.0676
3139.czi	29969.7	12840.9	52.959
3139.czi	25475.3	15641.2	33.0971
3139.czi	16159.5	18763.3	49.6316
3139.czi	18240.2	14944.5	48.9851
3139.czi	15240.6	13501.2	92.375
3139.czi	14597.6	12673.7	41.0028
3139.czi	17179.8	19815.1	44.6602
3139.czi	20324.5	11070	53.9517
3139.czi	26415.6	7387.9	55.4541
3139.czi	9064.5	13345	41.5811
3139.czi	14808	18075.7	41.0909
3139.czi	28975.7	6539.1	51.5844
3139.czi	7197.2	19758	54.9442
3139.czi	8897.5	11978.6	107.726
3139.czi	18651.5	11799.1	42.0059
3139.czi	13701.9	13124.2	79.0951
3139.czi	19349	10414.6	58.7948
3139.czi	18281	13791.1	49.1602
3139.czi	8526.9	13453.3	37.4276
3139.czi	23760.5	12709.4	37.5746
3139.czi	12576.1	7217.4	70.5802
3139.czi	6171	17998.8	33.9332
3139.czi	9035.3	18351.3	111.835
3139.czi	11652.4	14036.8	51.3726
3139.czi	20100.9	9741.4	140.6329
3139.czi	16006	8852	41.7397
3139.czi	21009.1	11684.6	40.7888
3139.czi	10210	14753.9	124.6252
3139.czi	17629.6	12932.1	41.8755
3139.czi	11551.7	18567.3	75.4119
3139.czi	12083.5	11813.9	53.7128
3139.czi	11714.3	13656.5	35.9425
3139.czi	20688.4	19100.7	77.5646
3139.czi	18887.3	13365.5	77.3723
3139.czi	27715.2	5625.3	50.2744
3139.czi	17535.1	19148.5	54.2061
3139.czi	6692.7	19448.9	94.4989
3139.czi	13128.8	16437.1	108.452
3139.czi	12143.5	13834.5	54.1505
3139.czi	16918.8	8351.5	53.3217
3139.czi	16415.5	17476.7	87.965
3139.czi	17843.2	10308.8	57.7461
3139.czi	16697.1	16275.1	45.514
3139.czi	15537.4	18118.2	42.5107
3139.czi	10000.1	18981.5	58.8623
3139.czi	16279.3	10414.4	52.3847
3139.czi	11275.3	12159.2	46.3313
3139.czi	12484	5068.1	45.9321
3139.czi	18794.3	4941.7	20.7154
3139.czi	14708.2	17936.4	34.7102
3139.czi	16505.1	11524.7	94.5111
3139.czi	19324.2	8960.7	31.6359
3139.czi	16780.3	8454.7	64.4073
3139.czi	22660.9	10702.2	45.7249
3139.czi	12080	14398.5	76.3524
3139.czi	15319.3	19966.9	39.6483
3139.czi	16873.2	14509.6	53.078
3139.czi	20248.9	8175.1	51.1481
3139.czi	29033.9	10231.9	32.5817
3139.czi	19743.1	16784.9	51.7255
3139.czi	26875.8	9908.4	47.3658
3139.czi	7588.4	6636.1	60.1648
3139.czi	26548.4	11469.9	50.1466
3139.czi	18647.6	11808.7	43.85
3139.czi	12962.9	16525.1	44.5596
3139.czi	10452.5	14536.5	65.8295
3139.czi	18519.2	12463.8	47.6299
3139.czi	28304.8	14593.3	44.546
3139.czi	20151.7	19897	95.1668
3139.czi	21903.8	13820.5	72.3828
3139.czi	7480	16855.4	57.543
3139.czi	16687.2	14770.2	36.6803
3139.czi	17993.3	8878	44.5957
3139.czi	15942	8845.4	53.6422
3139.czi	24056	17992.8	95.8324
3139.czi	13423.6	10261.3	39.8557
3139.czi	7856.9	6685.9	63.2676
3139.czi	19167.7	12273.7	41.3063
3139.czi	10808.8	15673.6	37.045
3139.czi	15709.9	9067.9	32.8965
3139.czi	9746	14565.5	49.8742
3139.czi	16910.8	13410.7	68.8788
3139.czi	14396.3	11458.2	63.0381
3139.czi	13199.3	17559.5	37.4451
3139.czi	12118	5721.4	56.2683
3139.czi	18371.6	19976.1	44.4215
3139.czi	13767.7	11504.9	85.3934
3139.czi	11372.9	19645.8	52.0008
