Image	Centroid X µm	Centroid Y µm	Area µm^2
3100.czi	13848.2	10893.8	106.1885
3100.czi	22812.2	3641.7	111.3724
3100.czi	12168	9744.1	81.1726
3100.czi	13513.3	11176.6	58.6917
3100.czi	18838	2793.6	46.562
3100.czi	8319	11278.2	52.9703
3100.czi	20476	11500.2	73.0285
3100.czi	18364.1	16183.7	61.18
3100.czi	13244.9	12036.4	63.7291
3100.czi	3649.5	4114	68.8089
3100.czi	19765.1	8002.8	115.2351
3100.czi	13194	11986.2	69.4303
3100.czi	12852.1	12882.7	72.8469
3100.czi	11614.4	7479.1	60.6645
3100.czi	11313.7	8617.5	47.5184
3100.czi	17774.7	14415.5	146.8054
3100.czi	13258.1	12651.3	57.4551
3100.czi	13442.9	12086.9	73.0164
3100.czi	10365.4	12016.2	68.8788
3100.czi	10033.7	8793.6	67.085
3100.czi	14840.3	9340.2	70.6208
3100.czi	13070.8	10892.6	81.0765
3100.czi	10419.2	7859.2	157.4333
3100.czi	12359.9	9838.7	47.2815
3100.czi	13130.6	12501.6	70.3082
3100.czi	11445.1	9097.1	52.5215
3100.czi	12078.9	8816	57.9182
3100.czi	10758.8	10119.1	52.1525
3100.czi	12076	15272.8	60.548
3100.czi	13218.3	11747.3	74.0575
3100.czi	21400.1	13040.8	62.309
3100.czi	15043.9	14790.5	70.2106
3100.czi	14089	9606.7	132.9821
3100.czi	13715.6	12538.7	61.3396
3100.czi	13026.9	10599.7	40.2452
3100.czi	10748.8	12228.9	116.8527
3100.czi	13611	12558.9	59.0033
3100.czi	9639.1	7922.9	88.1023
3100.czi	4591	12489.5	66.0882
3100.czi	15038.9	10647	41.2353
3100.czi	13868.1	11738.4	74.4477
3100.czi	6407.9	13244.1	87.261
3100.czi	11343.1	8728.3	47.2244
3100.czi	15825	10076.6	48.7579
3100.czi	13377.8	12080.1	53.5196
3100.czi	13813.1	12431.1	56.1609
3100.czi	8854.8	10135.9	68.8297
3100.czi	15738.3	12512.2	41.3792
3100.czi	15404.3	14350.6	37.4907
3100.czi	13806.1	12599.5	63.2456
3100.czi	8513.1	9906.2	50.8614
3100.czi	6491.5	3513.9	86.554
3100.czi	11754	8447.2	65.5695
3100.czi	8537.5	13634.3	46.0764
3100.czi	12050.6	9786.8	55.4872
3100.czi	20459.5	14305.5	72.1139
3100.czi	13212.1	11655.9	44.3701
3100.czi	13630.2	12627.8	56.3414
3100.czi	20775.8	11034.8	40.877
3100.czi	23471	12869.3	58.8218
3100.czi	13246	10954.7	46.595
3100.czi	18353.1	14667.7	36.7904
3100.czi	12303.1	10497.9	42.0275
3100.czi	8613.7	13562.5	89.11
3100.czi	13830.5	12778.5	56.1543
3100.czi	10105.4	7800.9	71.3641
3100.czi	13402.8	11417.6	49.7081
3100.czi	12303.3	10513.4	46.0534
3100.czi	11992.6	8355.4	52.1473
3100.czi	13942.4	10034.3	85.1161
3100.czi	8262.4	11050.1	79.4001
3100.czi	11779.4	11713.5	51.8668
3100.czi	13383.6	10144.2	75.5783
3100.czi	11741.6	6870	69.3008
3100.czi	12418.5	8889.7	54.3793
3100.czi	13970.9	7679.2	35.937
3100.czi	8862	14046.9	79.4308
3100.czi	8203.1	8550	38.0554
3100.czi	13514.6	10611.8	61.3148
3100.czi	9182.8	9861.1	47.4839
3100.czi	13893.2	12898.2	38.7351
3100.czi	18855.8	10863.7	40.3976
3100.czi	13218	11669.6	61.3171
3100.czi	10862.2	7783.8	46.7453
3100.czi	13728.5	12427.9	68.8745
3100.czi	20257.1	9951.7	83.3772
3100.czi	12577.5	10129.2	56.1679
3100.czi	10423	15256.9	57.5201
3100.czi	13119.1	10699.5	40.5414
3100.czi	13841.2	12272	52.6374
3100.czi	6565	10684.7	37.6617
3100.czi	8747.7	15999.3	57.1412
3100.czi	22995.4	3221.3	45.4388
3100.czi	18492.3	14940.5	46.8474
3100.czi	13049.1	10174.8	41.7092
3100.czi	10755	6729.7	58.6851
3100.czi	13583.8	11818.2	72.6597
3100.czi	16439.2	9446	58.0782
3100.czi	18861.5	12314.3	51.6898
3100.czi	5983.7	9879	37.5997
3100.czi	8332.5	13279.9	51.1445
3100.czi	11109.4	7238.7	56.4939
3100.czi	7241.7	8966	58.2279
3100.czi	13861.7	10902	95.7817
3100.czi	13227.1	12696.9	56.1226
3100.czi	11544.4	12335	54.6695
3100.czi	13732.1	11200.1	41.46
3100.czi	6074.5	11116.9	48.0714
3100.czi	13525.2	9978.9	36.6196
3100.czi	11343.9	9329	41.1777
3100.czi	22211.1	3143	57.2954
3100.czi	13715.5	12641.7	66.3398
3100.czi	13458.6	11675.7	72.3258
3100.czi	14010.8	9638.1	55.2233
3100.czi	10811	12207	79.4202
3100.czi	12603.8	10999.8	48.2683
3100.czi	4063.3	6930.7	58.1537
3100.czi	13504.5	12819.3	58.2001
3100.czi	21684.2	10062.9	33.475
3100.czi	17953.3	9923.5	43.3766
3100.czi	15039.2	10665.1	69.2791
3100.czi	16148	11112.2	36.4814
3100.czi	12617.5	11743	118.5123
3100.czi	5840	14845.5	43.0842
3100.czi	16213.8	10272.3	38.9945
3100.czi	14189.7	8542.9	39.2202
3100.czi	13870.3	12324.4	51.3651
3100.czi	12194.8	9133.9	44.6967
3100.czi	11487.3	9326.2	36.7364
