Image	Centroid X µm	Centroid Y µm	Area µm^2
3258.czi	21531.5	8860.5	53.4458
3258.czi	10291.2	12123.3	75.2344
3258.czi	20139.5	9861.8	53.6895
3258.czi	8002.6	594.41	60.5133
3258.czi	19127	12164.7	46.9861
3258.czi	21017	4389.5	45.0795
3258.czi	15334	645.17	56.0434
3258.czi	17849.8	10752.3	38.7775
3258.czi	16766.2	10448.1	44.9018
3258.czi	18670	5363.2	48.9475
3258.czi	22473.4	7466	64.2143
3258.czi	11903.9	12292.9	66.1915
3258.czi	5738.3	11102	37.1869
3258.czi	20699.2	4180.5	55.0106
3258.czi	3731	7413.1	77.1828
3258.czi	17658	4867.2	54.8728
3258.czi	23464.3	6635.3	46.3731
3258.czi	15702.6	12238.2	57.1552
3258.czi	19364.4	7314.8	55.913
3258.czi	15629.9	8112.7	83.0966
3258.czi	7071.3	2930.9	50.5663
3258.czi	14945.9	11691.6	53.3863
3258.czi	19532.3	7133.8	49.035
3258.czi	19107.3	12073.2	43.6555
3258.czi	12920.3	12028	51.3137
3258.czi	7912.9	6702.3	38.8222
3258.czi	27080.9	3437.9	82.9756
3258.czi	6616.2	6883.4	91.5344
3258.czi	17212.9	2761.5	72.7392
3258.czi	19954.9	12030.1	36.1413
3258.czi	24051	6602.3	50.5415
3258.czi	20456.2	3260.2	48.5523
3258.czi	20482.3	5155.8	53.0338
3258.czi	16088.7	11003.5	57.7094
3258.czi	25160	8497.6	41.1979
3258.czi	19717.3	11181.5	63.4101
3258.czi	24354.7	2687.8	64.3437
3258.czi	7196.1	3651.3	57.1758
3258.czi	29721.4	2906	47.2946
3258.czi	7109.4	14965.9	48.7225
3258.czi	20974.8	2343.1	100.4838
3258.czi	20590.1	9742.3	49.5239
3258.czi	30219.9	1779.9	45.8121
3258.czi	31792.9	1544.7	51.1302
3258.czi	6608.6	11892.2	74.9779
3258.czi	21719.3	9699.6	51.4262
3258.czi	18232.4	11713.6	85.5512
3258.czi	4652.4	3496	52.2776
3258.czi	13252	8740.9	34.8829
3258.czi	33218.2	964.34	46.3788
3258.czi	19513.7	11113.2	42.1487
