file,x,y,density,r
5,2857,7794.2,2468.2,0.0359,100
6,2857,8122.0,2470.4,0.0358,100
7,2857,8946.6,3107.1,0.0357,100
8,2857,10018.2,3774.6,0.035,100
9,2857,9702.7,6576.8,0.0348,100
0,2905,16197.0,7606.1,0.0379,100
1,2905,21041.9,8301.6,0.037,100
2,2905,18974.4,6550.2,0.0364,100
3,2905,16231.8,9014.5,0.0361,100
4,2905,18904.1,6758.1,0.0353,100
5,2905,19161.9,6648.6,0.0338,100
6,2905,10122.8,3476.3,0.0335,100
7,2905,15971.1,6087.0,0.0334,100
8,2905,13413.9,9688.4,0.0333,100
9,2905,16109.8,7222.7,0.0332,100
0,2908,19996.6,7002.9,0.0244,100
1,2908,24037.8,3633.2,0.02,100
2,2908,10731.4,2359.6,0.0196,100
3,2908,19866.4,7872.7,0.0192,100
4,2908,27504.3,8041.8,0.0176,100
5,2908,27800.9,6160.9,0.0171,100
6,2908,24509.1,6439.1,0.0166,100
7,2908,7067.3,14481.9,0.0165,100
8,2908,5741.1,13846.1,0.0165,100
9,2908,27622.7,5662.6,0.0165,100
0,3064,4916.4,9219.0,0.0336,100
1,3064,23651.5,19887.1,0.0281,100
2,3064,24405.3,20015.2,0.0281,100
3,3064,13280.6,9994.5,0.0267,100
4,3064,14386.7,14384.3,0.0263,100
5,3064,11544.3,12076.7,0.0262,100
6,3064,27802.3,11291.6,0.0257,100
7,3064,11716.4,11761.6,0.0252,100
8,3064,10428.4,10698.4,0.0249,100
9,3064,4884.0,14729.5,0.0249,100
0,3100,17585.1,729.96,0.0315,100
1,3100,10667.0,11204.7,0.0314,100
2,3100,10568.5,11366.8,0.0262,100
3,3100,17404.2,16113.1,0.0258,100
4,3100,10298.3,11505.8,0.0253,100
5,3100,9398.7,11075.7,0.025,100
6,3100,14949.8,14671.1,0.0247,100
7,3100,10701.3,11030.1,0.0236,100
8,3100,12975.0,10280.0,0.0226,100
9,3100,16192.9,11074.7,0.0226,100
0,3117,8316.4,7246.4,0.0362,100
1,3117,8167.5,7115.4,0.0333,100
2,3117,8542.0,7452.2,0.0327,100
3,3117,7967.7,6913.6,0.0313,100
4,3117,7718.0,6580.5,0.0304,100
5,3117,17432.6,14878.0,0.0294,100
6,3117,11560.7,7572.0,0.0285,100
7,3117,19840.4,11285.5,0.0284,100
8,3117,17308.1,15088.2,0.0278,100
9,3117,9899.6,4585.8,0.0266,100
0,3139,28465.2,9851.3,0.0282,100
1,3139,24989.0,8263.1,0.025,100
2,3139,13656.0,11528.9,0.0247,100
3,3139,23004.6,5950.4,0.0241,100
4,3139,29022.1,12992.9,0.023,100
5,3139,32796.1,7231.6,0.022,100
6,3139,29045.1,15861.8,0.0219,100
7,3139,9168.7,5685.3,0.0218,100
8,3139,23820.7,5064.5,0.0217,100
9,3139,29546.5,5847.2,0.0217,100
0,3207,12379.6,3357.6,0.0605,100
1,3207,12164.5,2966.4,0.0584,100
2,3207,12157.2,3282.8,0.058,100
3,3207,12394.4,3148.8,0.0578,100
4,3207,11953.6,2954.3,0.057,100
5,3207,10887.1,6078.6,0.0556,100
6,3207,10932.5,6351.3,0.0545,100
7,3207,12362.6,2953.3,0.0544,100
8,3207,12011.7,3141.9,0.0541,100
9,3207,10515.8,1340.2,0.0529,100
0,3212,3294.2,11920.3,0.0336,100
1,3212,10330.8,7680.5,0.032,100
2,3212,9594.6,5729.3,0.0306,100
3,3212,7624.4,6157.7,0.0299,100
4,3212,10335.4,8091.9,0.0297,100
5,3212,10159.3,5256.3,0.0295,100
6,3212,12320.6,4672.3,0.0294,100
7,3212,5168.4,8381.1,0.0293,100
8,3212,9538.8,6214.1,0.0292,100
9,3212,5270.9,6604.7,0.0292,100
0,3258,22407.0,3002.4,0.0374,100
1,3258,8847.8,11188.4,0.0341,100
2,3258,9613.5,7977.0,0.0325,100
3,3258,12080.2,11362.7,0.0302,100
4,3258,8615.1,11090.2,0.03,100
5,3258,7929.9,13986.4,0.0284,100
6,3258,7164.0,12471.0,0.0277,100
7,3258,28880.8,8199.2,0.0265,100
8,3258,31759.7,1178.6,0.0264,100
9,3258,11796.2,11608.0,0.0245,100
0,3292,11072.5,17774.0,0.0384,100
1,3292,14897.1,18943.8,0.0364,100
2,3292,9512.3,12515.9,0.036,100
3,3292,20365.2,14345.1,0.0354,100
4,3292,16585.8,18551.0,0.0348,100
5,3292,9761.8,12405.9,0.0345,100
6,3292,9209.3,12924.4,0.0335,100
7,3292,9237.0,13186.6,0.0333,100
8,3292,14760.9,19089.0,0.0333,100
9,3292,9210.1,12293.3,0.0321,100
