,file,x,y,density,r
0,2750,9741.9,14519,0.0403,100
1,2750,16176.4,15636.3,0.0353,100
2,2750,25086.6,14114,0.0351,100
3,2750,13864.9,15996.1,0.0332,100
4,2750,18522.8,8253.9,0.0322,100
5,2750,24832.1,14663.9,0.0312,100
6,2750,19650.4,15135.1,0.031,100
7,2750,15987.8,15719.7,0.031,100
8,2750,18532.3,14227.4,0.0301,100
9,2750,16483.6,18471.2,0.0297,100
0,2782,8124.9,10533.2,0.0308,100
1,2782,4356,9784,0.019,100
2,2782,15144.6,6453.2,0.0178,100
3,2782,4233.3,9650.2,0.0168,100
4,2782,8221.2,7492.1,0.0142,100
5,2782,8190.3,10384.2,0.0131,100
6,2782,8997.5,6943,0.0126,100
7,2782,15750.7,5677.2,0.0121,100
8,2782,19677.9,10402.2,0.0121,100
9,2782,8781.4,7039.7,0.0115,100
0,2787,13228.9,4330.1,0.0299,100
1,2787,6064,5187.1,0.0258,100
2,2787,5677.9,14413.1,0.0243,100
3,2787,19649.3,19701.7,0.0238,100
4,2787,10540.3,4072.9,0.022,100
5,2787,6300.2,5830.3,0.022,100
6,2787,12238.1,2697.2,0.0217,100
7,2787,13027.9,4323.3,0.0216,100
8,2787,7891.9,3896.8,0.0208,100
9,2787,3882.6,6850.7,0.0208,100
0,2857,7516.4,2495.8,0.0434,100
1,2857,8029.8,2515.2,0.0415,100
2,2857,7815.5,2476,0.0396,100
3,2857,3893.1,13007.8,0.0362,100
4,2857,8542.9,5553.2,0.0355,100
5,2857,7673.5,2608.3,0.0348,100
6,2857,9638.1,6595.3,0.0336,100
7,2857,10011,3776,0.0318,100
8,2857,8921.1,3116.3,0.0309,100
9,2857,9567,6815.2,0.0295,100
0,2905,16187.6,7628.5,0.0408,100
1,2905,19017.8,6610.1,0.037,100
2,2905,16128.1,7251,0.0361,100
3,2905,16237.2,7438.9,0.0352,100
4,2905,15968.9,6083,0.0329,100
5,2905,13414,9687.8,0.0326,100
6,2905,10153,3366.1,0.0326,100
7,2905,18884,6748.8,0.0318,100
8,2905,16417.4,7168.8,0.0316,100
9,2905,8274.9,7923.9,0.0315,100
0,2908,19996.6,7002.9,0.0244,100
1,2908,24037.8,3633.2,0.02,100
2,2908,10731.4,2359.6,0.0196,100
3,2908,19866.4,7872.7,0.0192,100
4,2908,27504.3,8041.8,0.0176,100
5,2908,27800.9,6160.9,0.0171,100
6,2908,24509.1,6439.1,0.0166,100
7,2908,7067.3,14481.9,0.0165,100
8,2908,5741.1,13846.1,0.0165,100
9,2908,27622.7,5662.6,0.0165,100
0,3064,4912.4,9238.3,0.0357,100
1,3064,13226,9941.6,0.0279,100
2,3064,11246.9,10370,0.0275,100
3,3064,11781.2,8324.9,0.0266,100
4,3064,8261.5,9203.4,0.026,100
5,3064,11157.7,10839.4,0.0256,100
6,3064,9743.7,8946.6,0.0255,100
7,3064,12849.6,9849.7,0.0251,100
8,3064,12859.7,11799.4,0.0245,100
9,3064,11863.1,11310,0.0243,100
0,3100,14945.4,14669.2,0.0203,100
1,3100,10972.7,8386.7,0.0159,100
2,3100,12120.5,8888.8,0.0151,100
3,3100,13094.1,10628.8,0.0145,100
4,3100,10015.9,13817.2,0.0143,100
5,3100,22934.7,11862.5,0.0137,100
6,3100,10949.9,8619.2,0.0136,100
7,3100,13914.4,4136.7,0.0135,100
8,3100,10980.2,8186.9,0.0135,100
9,3100,20941.4,12224.9,0.0133,100
0,3117,8837.7,4467.3,0.0195,100
1,3117,5613.6,6411.3,0.0192,100
2,3117,5782.8,6149.1,0.018,100
3,3117,7604.4,13024.9,0.017,100
4,3117,18171.7,10217.3,0.0169,100
5,3117,5079.7,6043.5,0.0162,100
6,3117,9069.8,5381.4,0.0157,100
7,3117,12547.4,15332,0.0157,100
8,3117,7486.3,12859.2,0.0156,100
9,3117,8596.4,4251.3,0.0153,100
0,3139,8248,16604.9,0.0178,100
1,3139,23065.4,5943.6,0.0172,100
2,3139,8270,17779.6,0.0147,100
3,3139,17490,17975.1,0.014,100
4,3139,11524.4,17186.3,0.0132,100
5,3139,24978.8,8256.1,0.0129,100
6,3139,20861.7,7331.5,0.0127,100
7,3139,25866.7,9422.5,0.0126,100
8,3139,29019,15827.9,0.0123,100
9,3139,26156.3,9955.9,0.0118,100
0,3207,12383,3397.2,0.0622,100
1,3207,11967.9,2791.4,0.0617,100
2,3207,11948.1,2993.8,0.0602,100
3,3207,10857.7,6067.8,0.0587,100
4,3207,12187.2,2940.6,0.058,100
5,3207,12413.4,3118.9,0.0574,100
6,3207,10941,6486.9,0.0573,100
7,3207,10495.3,1320.8,0.0569,100
8,3207,12383.3,2893.1,0.0564,100
9,3207,10921.3,6264.2,0.0552,100
0,3212,15089.2,17109.3,0.0261,100
1,3212,14376.4,17110.5,0.0238,100
2,3212,14781.8,17960,0.0231,100
3,3212,15873.2,16872,0.022,100
4,3212,15801.9,20012.1,0.0213,100
5,3212,15860.2,16573.9,0.0209,100
6,3212,15530,16016,0.0195,100
7,3212,5908.9,10863.9,0.0194,100
8,3212,16813.1,20472.5,0.0193,100
9,3212,14633.2,17470.5,0.0188,100
0,3258,22430.9,3027.8,0.0388,100
1,3258,8862,11204,0.0333,100
2,3258,9622.6,7978.6,0.0271,100
3,3258,7197.5,12490.7,0.0253,100
4,3258,31753.9,1176.1,0.0239,100
5,3258,12078.8,11360.3,0.0238,100
6,3258,28872,8215.8,0.0227,100
7,3258,8680,11129.9,0.0225,100
8,3258,9054.9,11271.6,0.019,100
9,3258,22328.7,2933.7,0.0178,100
0,3292,16587.5,18549.4,0.0375,100
1,3292,14904.4,18942.1,0.0365,100
2,3292,11083,17679.3,0.0325,100
3,3292,9559.3,12490.6,0.0323,100
4,3292,14751.2,19062.8,0.0318,100
5,3292,20383.9,14333,0.0308,100
6,3292,9238.5,13188.1,0.0297,100
7,3292,9167.2,12968.1,0.0292,100
8,3292,17550.4,18536.4,0.029,100
9,3292,9729.1,12383.8,0.0289,100
